EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE
NSE,D,37787,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-19450-CE,NIFTY 07 AUG 19450 CALL,OP,NA,75,########,19450,CE,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37789,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-19450-PE,NIFTY 07 AUG 19450 PUT,OP,NA,75,########,19450,PE,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37790,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-19500-CE,NIFTY 07 AUG 19500 CALL,OP,NA,75,########,19500,CE,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37791,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-19500-PE,NIFTY 07 AUG 19500 PUT,OP,NA,75,########,19500,PE,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37795,NA,OPTIDX,26000,NIFTY,NIFTY-Dec2025-23000-CE,NIFTY 24 DEC 23000 CALL,OP,NA,75,########,23000,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37796,NA,OPTIDX,26000,NIFTY,NIFTY-Dec2025-23000-PE,NIFTY 24 DEC 23000 PUT,OP,NA,75,########,23000,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37797,NA,OPTIDX,26000,NIFTY,NIFTY-Dec2025-13000-PE,NIFTY 24 DEC 13000 PUT,OP,NA,75,########,13000,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37798,NA,OPTIDX,26000,NIFTY,NIFTY-Jun2026-13000-CE,NIFTY 25 JUN 13000 CALL,OP,NA,75,########,13000,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37799,NA,OPTIDX,26000,NIFTY,NIFTY-Jun2026-23000-CE,NIFTY 25 JUN 23000 CALL,OP,NA,75,########,23000,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37800,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-19550-CE,NIFTY 07 AUG 19550 CALL,OP,NA,75,########,19550,CE,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37801,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-19550-PE,NIFTY 07 AUG 19550 PUT,OP,NA,75,########,19550,PE,5,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37802,NA,OPTIDX,26000,NIFTY,NIFTY-Jun2026-13000-PE,NIFTY 25 JUN 13000 PUT,OP,NA,75,########,13000,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37805,NA,OPTIDX,26000,NIFTY,NIFTY-Jun2026-23000-PE,NIFTY 25 JUN 23000 PUT,OP,NA,75,########,23000,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37806,NA,OPTIDX,26000,NIFTY,NIFTY-Dec2026-23000-CE,NIFTY 31 DEC 23000 CALL,OP,NA,75,########,23000,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37810,NA,OPTIDX,26000,NIFTY,NIFTY-Dec2026-23000-PE,NIFTY 31 DEC 23000 PUT,OP,NA,75,########,23000,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37884,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-19300-CE,NIFTY 28 AUG 19300 CALL,OP,NA,75,########,19300,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37887,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-19300-PE,NIFTY 28 AUG 19300 PUT,OP,NA,75,########,19300,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37888,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-19350-CE,NIFTY 28 AUG 19350 CALL,OP,NA,75,########,19350,CE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSE,D,37889,NA,OPTIDX,26000,NIFTY,NIFTY-Aug2025-19350-PE,NIFTY 28 AUG 19350 PUT,OP,NA,75,########,19350,PE,5,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
